station_id,name,lat,lon
212078,Bei der Hammer Kirche/Hammerpark,53.556699,10.055075
212079,Eiffestrasse/Normannenweg,53.552123,10.030364
212607,Wiesendamm/Roggenkamp,53.586958,10.042993
213235,St.Petersburger Straße/Bei den Kirchhöfen,53.559762,9.981839
213277,Großneumarkt/Thielbek,53.550977,9.980459
213679,U-Bahn Schlump,53.567991,9.969601
213680,Löwenstraße/Eppendorfer Weg,53.583795,9.977916
213687,Überseering/Mexikoring,53.601619,10.024745
213688,Planetarium/Hindenburgstraße,53.59595,10.01365
213792,Koppelstraße/Lokstedter Grenzstraße,53.593587,9.943525
213825,Emilienstraße/Fruchtallee,53.57169,9.953138
213832,Domstraße/Willy-Brandt-Straße,53.547486,9.994057
213833,Lortzingstraße/Friedrichsberger Straße,53.573588,10.049568
213855,Bebelallee/Meenkwiese,53.599203,9.994017
213856,Neumühlen/Övelgönne,53.544302,9.914731
214170,U-Bahn Baumwall,53.544279,9.980896
218173,Rothenburgsort/Marktplatz/Lindleystraße,53.534288,10.038938
218174,Amsinckstraße/ Nordkanalbrücke,53.547868,10.012361
218635,Auf dem Sande/Kehrwieder-MiniaturWunderland,53.543731,9.98971
218636,Schopenstehl/Alter Fischmarkt,53.548703,9.997126
224650,Leinpfad/Fernsicht,53.580391,9.999404
226605,Barkassenanleger/Mengestraße,53.499748,9.99647
226607,Neunenfelder Straße/ Kurt-Emmerich-Platz,53.497232,10.003843
227415,Wandsbeker Chaussee/ Börnestraße,53.57047,10.059528
227770,Berta-Kröger-Platz/Wilhelm-Strauß-Weg,53.497933,10.007016
229760,OTTO Group / Wandsbeker Straße,53.60026,10.070397
230054,Grasbrookpark/Überseequartier,53.540282,9.997945
233536,Troplowitzstraße / Beiersdorf  / NXP,53.582793,9.957594
239807,Bullerdeich/Stadtreinigung Hamburg,53.544979,10.03685
241777,Reeseberg/EBV-Anzengruberstraße,53.44896,9.990306
242358,Moorstraße/Bahnhof Harburg,53.457286,9.987994
242642,Herbert-Wehner-Platz/Großer Schippsee,53.460407,9.983319
242643,Harburger Ring/Neue Straße,53.4606874,9.9775729
242645,Harburger Rathausstraße/Deichhausweg,53.4599586,9.9804731
242727,Kanalplatz/Harburger Schlossstraße,53.4665,9.984148
242729,Alter Postweg / Heimfelder Straße,53.465276,9.963537
242730,TU Harburg/Denickestraße,53.460622,9.969487
242732,Gotthelfweg/Außenmühlenteich,53.447625,9.980675
242770,Schellerdamm/Hausnummer22,53.464282,9.986136
242771,Fuhlsbüttler Straße/Hellbrookstraße,53.59146,10.044508
243616,Bogenstraße / Grindelallee,53.5712,9.977694
243617,Sophienallee / Sandweg,53.569769,9.94977
243618,Lappenbergsallee / Bei der Apostelkirche,53.575573,9.944487
243619,Emil-Andresen-Straße / Lohkoppelweg,53.59285,9.952055
243620,Herthastraße / Einkaufszentrum Bramfeld,53.611878,10.075913
243621,Friedrich-Ebert-Damm / Lomerstraße,53.584919,10.079638
244093,Feldstraße / Marktstraße,53.557414,9.969178
244935,Caffamacherreihe/Valentinskamp.,53.555722,9.984209
244936,Sievekingsallee/Sievekingdamm,53.560835,10.052589
244937,Horner Weg/Morahtstieg,53.555503,10.066926
244938,Horner Rennbahn/ Meurer Weg,53.554193,10.085077
244939,Osterbrookplatz/ Süderstraße,53.546932,10.057613
244942,Mittelweg/Sophienterrasse-NDR,53.576378,9.993122
244943,Große Rainstraße/Ottenser Hauptstraße,53.552339,9.930344
244944,Hohenzollernring/Friedensallee,53.55671,9.918508
244945,Friedensallee/Hegarstraße ( S Bahn Bahrenfeld ) ,53.56026,9.908946
244946,Dürerstraße/Beslerplatz- S Bahn Othmarschen,53.560395,9.887159
245203,Alsterdorfer Straße/Fuhlsbüttler Straße,53.62,10.032
245204,Fuhlsbüttler Straße/Hartzloh,53.601,10.041
245434,Eißendorfer Pferdeweg/ Asklepios-Klinik Harburg,53.459,9.951
245452,Versmannstraße/Am Hannoverschen Bahnhof,53.540782,10.006168
247483,Paul-Ehrlich-Straße/Asklepios Klinik Altona,53.554433,9.900752
247846,Niendorf Markt/Tibarg,53.6190722,9.9513113
247847,Nordalbinger Weg/Paul-Sorge-Straße,53.6408352,9.9500955
247851,Langenhorn Markt/Tangstedter Landstraße,53.6487572,10.0163663
247852,Weidestraße /Johannes-Prassek-Park,53.5808087,10.0258479
248511,Habichtstraße/Steilshooper Straße,53.593726,10.0506397
250340,Hugo-Kirchberg-Straße/Tesa,53.65429,9.98528
251476,Georg-Wilhelm-Straße/Mankiewicz,53.494,9.99
252479,Hindenburgstraße/Möringbogen,53.606177,10.012225
252481,Nordschleswiger Straße/Dulsberg-Nord,53.585813,10.06523
252483,Grandweg/Veilchenweg,53.589185,9.964681
252484,Siemersplatz/Kollaustraße,53.600072,9.963929
252485,Langenfelder Damm/Müggenkampstraße,53.580757,9.938418
252486,Randstraße/ Stellingen,53.590248,9.919356
252487,DESY/Notkestraße,53.574537,9.878527
252488,Große Elbstraße/Van-der-Smissen-Straße,53.543906,9.94246
252492,Thadenstraße/Holstenstraße,53.555827,9.950708
252493,Elbchaussee/Teufelsbrück,53.547425,9.862013
252494,Ohnhorststraße/Klein Flottbek,53.558587,9.86216
252496,Caspar-Voght-Straße/Sievekingsallee,53.559893,10.061703
252497,Riedweg/Vierbergen,53.547643,10.095515
252498,Billstedter Platz/Öjendorfer Weg,53.540096,10.106106
252499,Manshardtstraße/EKZ Manshardtstraße,53.559215,10.107447
252500,Osdorfer Landstraße/ Elbe-Einkaufszentrum,53.571629,9.862423
